Time	Position	Symbol	Type	Volume	Price	S / L	T / P	Time	Price	Commission	Swap	Profit
2023.05.23 18:44:56	95091259	XAUUSD.s	sell	0.01	1966.94	1980.00		2023.05.23 20:44:22	1974.33	0.00	0.00	-7.39
2023.05.30 01:12:40	96527839	XAUUSD.s	sell	0.05	1942.88			2023.05.30 02:29:15	1942.29	0.00	0.00	2.95
2023.05.30 02:40:31	96531976	XAUUSD.s	buy	0.04	1942.42	1938.00		2023.05.30 03:05:41	1942.65	0.00	0.00	0.92
2023.05.30 07:08:28	96564091	XAUUSD.s	buy	0.04	1938.22	1934.00		2023.05.30 08:24:13	1933.82	0.00	0.00	-17.60
2023.05.30 07:51:26	96570875	XAUUSD.s	buy	0.02	1939.42			2023.05.30 10:58:44	1941.71	0.00	0.00	4.58
2023.05.30 07:52:31	96570966	XAUUSD.s	buy	0.02	1939.18			2023.05.30 08:24:23	1934.21	0.00	0.00	-9.94
2023.05.30 07:54:40	96571153	XAUUSD.s	buy	0.02	1939.03			2023.05.30 10:58:51	1941.48	0.00	0.00	4.90
2023.05.30 08:09:41	96573599	XAUUSD.s	buy	0.02	1938.01			2023.05.30 10:58:48	1941.71	0.00	0.00	7.40
2023.05.30 08:48:01	96587662	XAUUSD.s	buy	0.02	1933.07			2023.05.30 10:58:41	1941.91	0.00	0.00	17.68
2023.05.30 13:39:20	96688400	XAUUSD.s	sell	0.02	1954.63	1958.00		2023.05.30 14:33:26	1958.64	0.00	0.00	-8.02
2023.05.30 13:39:44	96688451	XAUUSD.s	sell	0.02	1954.69			2023.05.30 13:39:53	1955.13	0.00	0.00	-0.88
2023.05.30 13:53:05	96690268	XAUUSD.s	sell	0.02	1955.46	1958.00		2023.05.30 14:33:26	1958.64	0.00	0.00	-6.36
2023.05.30 13:56:50	96690665	XAUUSD.s	sell	0.01	1955.44	1958.00		2023.05.30 14:33:26	1958.54	0.00	0.00	-3.10
2023.05.30 13:57:28	96690743	XAUUSD.s	sell	0.01	1955.61	1958.00		2023.05.30 14:33:26	1958.54	0.00	0.00	-2.93
2023.05.30 14:15:50	96694416	XAUUSD.s	sell	0.02	1956.02	1958.00		2023.05.30 14:33:26	1958.64	0.00	0.00	-5.24
2023.05.30 14:35:20	96700180	XAUUSD.s	sell	0.1	1957.71			2023.05.31 16:48:04	1970.94	0.00	0.00	-132.30
2023.05.31 15:20:54	96929799	XAUUSD.s	sell	0.1	1962.56	1963.50		2023.05.31 15:50:14	1963.47	0.00	0.00	-9.10
2023.05.31 15:50:32	96937743	XAUUSD.s	sell	0.05	1962.68			2023.05.31 16:48:04	1971.02	0.00	0.00	-41.70
2023.05.31 16:59:15	96966391	XAUUSD.s	sell	0.2	1969.71			2023.05.31 17:10:50	1965.39	0.00	0.00	86.40
2023.05.31 17:11:06	96978770	XAUUSD.s	sell	0.2	1964.54			2023.05.31 18:27:02	1973.65	0.00	0.00	-182.20
2023.05.31 18:27:06	97004789	XAUUSD.s	buy	0.2	1973.37			2023.05.31 18:35:06	1971.82	0.00	0.00	-31.00
2023.05.31 18:35:10	97006457	XAUUSD.s	sell	0.2	1972.03	1969.00		2023.05.31 20:25:38	1965.46	0.00	0.00	131.40
2023.05.31 18:50:05	97008663	XAUUSD.s	sell	0.1	1971.80	1970.00		2023.05.31 20:25:42	1965.42	0.00	0.00	63.80
2023.05.31 20:29:43	97025921	XAUUSD.s	sell	0.1	1963.28			2023.05.31 20:41:26	1966.71	0.00	0.00	-34.30
2023.05.31 20:29:54	97026004	XAUUSD.s	sell	0.2	1963.57	1967.00		2023.05.31 20:39:56	1966.69	0.00	0.00	-62.40
